-------,sol_1.c,sol_10.c,sol_11.c,sol_3.c,sol_4.c,sol_5.c,sol_6.c,sol_7.c,sol_8.c,sol_9.c,sol_2.c
sol_1.c,0.000000,0.450521,0.967635,0.532086,0.448087,0.551351,0.581818,0.621277,0.353723,0.559809,0.233516
sol_10.c,0.450521,0.000000,0.960040,0.510417,0.492188,0.567708,0.497727,0.540426,0.445312,0.507177,0.367188
sol_11.c,0.967635,0.960040,0.000000,0.956737,0.964663,0.968296,0.961691,0.949802,0.960700,0.960370,0.961691
sol_3.c,0.532086,0.510417,0.956737,0.000000,0.494652,0.542781,0.563636,0.540426,0.457447,0.531101,0.459893
sol_4.c,0.448087,0.492188,0.964663,0.494652,0.000000,0.421622,0.547727,0.553191,0.401596,0.511962,0.439891
sol_5.c,0.551351,0.567708,0.968296,0.542781,0.421622,0.000000,0.597727,0.625532,0.478723,0.528708,0.502703
sol_6.c,0.581818,0.497727,0.961691,0.563636,0.547727,0.597727,0.000000,0.548936,0.545455,0.529545,0.554545
sol_7.c,0.621277,0.540426,0.949802,0.540426,0.553191,0.625532,0.548936,0.000000,0.551064,0.578723,0.585106
sol_8.c,0.353723,0.445312,0.960700,0.457447,0.401596,0.478723,0.545455,0.551064,0.000000,0.504785,0.359043
sol_9.c,0.559809,0.507177,0.960370,0.531101,0.511962,0.528708,0.529545,0.578723,0.504785,0.000000,0.461722
sol_2.c,0.233516,0.367188,0.961691,0.459893,0.439891,0.502703,0.554545,0.585106,0.359043,0.461722,0.000000
