-------,__fsid_t,dirent,enum (unnamed at /usr/include/dirent.h:97:1),__mbstate_t,_G_fpos_t,_G_fpos64_t,_IO_FILE,_IO_FILE,_IO_FILE,_IO_FILE,_IO_cookie_io_functions_t,div_t,ldiv_t,lldiv_t,__bswap_16,__bswap_32,__bswap_64,__uint16_identity,__uint32_identity,__uint64_identity,__sigset_t,timeval,timespec,fd_set,__pthread_internal_list,__pthread_internal_slist,__pthread_mutex_s,__pthread_rwlock_arch_t,__pthread_cond_s,__once_flag,random_data,drand48_data,__locale_struct,enum (unnamed at /usr/include/bits/confname.h:24:1),enum (unnamed at /usr/include/bits/confname.h:71:1),enum (unnamed at /usr/include/bits/confname.h:539:1),z_stream_s,gz_header_s,gzFile_s,gzFile_s,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
__fsid_t,0.136364,0.932203,0.927711,0.877358,0.842105,0.847458,0.983384,0.983384,0.983384,0.983384,0.937500,0.867647,0.875000,0.876712,0.923664,0.923664,0.923664,0.867647,0.867647,0.867647,0.854839,0.927419,0.951128,0.937799,0.843750,0.830508,0.963855,0.962319,0.929078,0.812500,0.958333,0.951087,0.964286,0.958084,0.995522,0.983310,0.982869,0.983914,0.876712,0.876712,0.972222,0.812500,0.842105,0.954545,0.921875,0.965318,0.921429,0.847222,0.847222,0.957317,0.975309,0.937500,0.968085,0.958974
dirent,0.932203,0.045198,0.819209,0.774011,0.864407,0.858757,0.891239,0.891239,0.891239,0.891239,0.762712,0.853107,0.841808,0.853107,0.774011,0.774011,0.762712,0.870057,0.875706,0.870057,0.858757,0.728814,0.781955,0.736842,0.864407,0.864407,0.831325,0.831884,0.796610,0.898305,0.776042,0.717391,0.758929,0.943114,0.994833,0.966620,0.922912,0.903485,0.790960,0.790960,0.883333,0.858757,0.881356,0.830508,0.819209,0.830508,0.830508,0.898305,0.892655,0.824859,0.860082,0.819209,0.867021,0.835897
enum (unnamed at /usr/include/dirent.h:97:1),0.927711,0.813559,0.054217,0.867470,0.891566,0.891566,0.960725,0.960725,0.960725,0.960725,0.837349,0.861446,0.855422,0.861446,0.813253,0.819277,0.819277,0.879518,0.879518,0.879518,0.897590,0.813253,0.849624,0.827751,0.903614,0.903614,0.909639,0.913043,0.849398,0.903614,0.859375,0.869565,0.892857,0.877245,0.989321,0.945758,0.959315,0.951743,0.885542,0.885542,0.927778,0.909639,0.885542,0.861446,0.855422,0.867052,0.837349,0.873494,0.873494,0.855422,0.880658,0.831325,0.909574,0.887179
__mbstate_t,0.877358,0.779661,0.867470,0.028302,0.801887,0.801887,0.932024,0.932024,0.932024,0.932024,0.743056,0.745283,0.735849,0.745283,0.786260,0.778626,0.778626,0.811321,0.811321,0.811321,0.773585,0.725806,0.838346,0.818182,0.792453,0.801887,0.855422,0.872464,0.765957,0.783019,0.796875,0.804348,0.821429,0.937126,0.991044,0.962448,0.927195,0.919571,0.773585,0.773585,0.919444,0.811321,0.820755,0.844156,0.765625,0.843931,0.807143,0.801887,0.801887,0.853659,0.888889,0.847222,0.901596,0.866667
_G_fpos_t,0.842105,0.870057,0.879518,0.783019,0.052632,0.186441,0.951662,0.951662,0.951662,0.951662,0.805556,0.764706,0.791667,0.808219,0.809160,0.801527,0.801527,0.735294,0.720588,0.735294,0.709677,0.798387,0.902256,0.880383,0.671875,0.644068,0.915663,0.915942,0.801418,0.684211,0.848958,0.864130,0.879464,0.949102,0.995177,0.979138,0.942184,0.932976,0.712329,0.712329,0.933333,0.719298,0.631579,0.850649,0.804688,0.867052,0.821429,0.750000,0.777778,0.865854,0.905350,0.854167,0.928191,0.897436
_G_fpos64_t,0.847458,0.875706,0.879518,0.783019,0.152542,0.050847,0.950151,0.950151,0.950151,0.950151,0.812500,0.794118,0.805556,0.808219,0.809160,0.809160,0.793893,0.750000,0.750000,0.720588,0.709677,0.790323,0.894737,0.870813,0.687500,0.661017,0.912651,0.915942,0.815603,0.694915,0.859375,0.869565,0.888393,0.958084,0.995522,0.977747,0.944326,0.941019,0.671233,0.671233,0.938889,0.728814,0.677966,0.857143,0.820312,0.872832,0.828571,0.791667,0.791667,0.871951,0.913580,0.868056,0.928191,0.912821
_IO_FILE,0.984894,0.897281,0.960725,0.932024,0.951662,0.948640,0.036254,0.036254,0.036254,0.036254,0.916918,0.953172,0.951662,0.953172,0.938066,0.936556,0.935045,0.957704,0.959215,0.956193,0.951662,0.924471,0.916918,0.912387,0.951662,0.951662,0.889728,0.895770,0.922961,0.963746,0.912387,0.907855,0.889728,0.990937,1.008612,1.006954,0.910876,0.915408,0.938066,0.938066,0.913897,0.957704,0.954683,0.932024,0.932024,0.932024,0.935045,0.963746,0.963746,0.945619,0.930514,0.935045,0.918429,0.939577
_IO_FILE,0.984894,0.897281,0.960725,0.932024,0.951662,0.948640,0.036254,0.036254,0.036254,0.036254,0.916918,0.953172,0.951662,0.953172,0.938066,0.936556,0.935045,0.957704,0.959215,0.956193,0.951662,0.924471,0.916918,0.912387,0.951662,0.951662,0.889728,0.895770,0.922961,0.963746,0.912387,0.907855,0.889728,0.990937,1.008612,1.006954,0.910876,0.915408,0.938066,0.938066,0.913897,0.957704,0.954683,0.932024,0.932024,0.932024,0.935045,0.963746,0.963746,0.945619,0.930514,0.935045,0.918429,0.939577
_IO_FILE,0.984894,0.897281,0.960725,0.932024,0.951662,0.948640,0.036254,0.036254,0.036254,0.036254,0.916918,0.953172,0.951662,0.953172,0.938066,0.936556,0.935045,0.957704,0.959215,0.956193,0.951662,0.924471,0.916918,0.912387,0.951662,0.951662,0.889728,0.895770,0.922961,0.963746,0.912387,0.907855,0.889728,0.990937,1.008612,1.006954,0.910876,0.915408,0.938066,0.938066,0.913897,0.957704,0.954683,0.932024,0.932024,0.932024,0.935045,0.963746,0.963746,0.945619,0.930514,0.935045,0.918429,0.939577
_IO_FILE,0.984894,0.897281,0.960725,0.932024,0.951662,0.948640,0.036254,0.036254,0.036254,0.036254,0.916918,0.953172,0.951662,0.953172,0.938066,0.936556,0.935045,0.957704,0.959215,0.956193,0.951662,0.924471,0.916918,0.912387,0.951662,0.951662,0.889728,0.895770,0.922961,0.963746,0.912387,0.907855,0.889728,0.990937,1.008612,1.006954,0.910876,0.915408,0.938066,0.938066,0.913897,0.957704,0.954683,0.932024,0.932024,0.932024,0.935045,0.963746,0.963746,0.945619,0.930514,0.935045,0.918429,0.939577
